time_period,all_vacancies,construction,wholesale_retail,education,health_social_work
Apr-Jun 2005,642.0,26.0,132.0,43.0,81.0
May-Jul 2005,633.0,22.0,132.0,42.0,80.0
Jun-Aug 2005,624.0,22.0,131.0,42.0,79.0
Jul-Sep 2005,622.0,22.0,131.0,41.0,78.0
Aug-Oct 2005,608.0,23.0,123.0,42.0,74.0
Sep-Nov 2005,606.0,25.0,121.0,41.0,69.0
Oct-Dec 2005,609.0,25.0,120.0,43.0,68.0
Nov-Jan 2006,615.0,27.0,121.0,43.0,68.0
Dec-Feb 2006,612.0,26.0,118.0,44.0,65.0
Jan-Mar 2006,600.0,23.0,111.0,43.0,63.0
Feb-Apr 2006,598.0,23.0,114.0,42.0,62.0
Mar-May 2006,597.0,22.0,117.0,41.0,61.0
Apr-Jun 2006,604.0,22.0,121.0,43.0,60.0
May-Jul 2006,607.0,22.0,120.0,44.0,61.0
Jun-Aug 2006,611.0,24.0,119.0,45.0,62.0
Jul-Sep 2006,611.0,24.0,119.0,45.0,61.0
Aug-Oct 2006,618.0,25.0,119.0,45.0,58.0
Sep-Nov 2006,620.0,24.0,118.0,44.0,59.0
Oct-Dec 2006,620.0,24.0,117.0,43.0,62.0
Nov-Jan 2007,619.0,23.0,116.0,43.0,63.0
Dec-Feb 2007,629.0,24.0,121.0,44.0,64.0
Jan-Mar 2007,642.0,25.0,123.0,47.0,64.0
Feb-Apr 2007,648.0,24.0,128.0,48.0,63.0
Mar-May 2007,651.0,23.0,127.0,49.0,63.0
Apr-Jun 2007,659.0,23.0,129.0,50.0,65.0
May-Jul 2007,670.0,27.0,126.0,49.0,66.0
Jun-Aug 2007,681.0,28.0,131.0,50.0,67.0
Jul-Sep 2007,683.0,30.0,130.0,49.0,68.0
Aug-Oct 2007,686.0,30.0,130.0,51.0,71.0
Sep-Nov 2007,691.0,30.0,129.0,51.0,74.0
Oct-Dec 2007,687.0,29.0,129.0,51.0,74.0
Nov-Jan 2008,678.0,27.0,130.0,50.0,72.0
Dec-Feb 2008,687.0,28.0,130.0,50.0,72.0
Jan-Mar 2008,697.0,28.0,134.0,48.0,71.0
Feb-Apr 2008,696.0,29.0,134.0,48.0,72.0
Mar-May 2008,679.0,28.0,127.0,49.0,73.0
Apr-Jun 2008,657.0,27.0,120.0,49.0,72.0
May-Jul 2008,643.0,26.0,115.0,50.0,72.0
Jun-Aug 2008,624.0,25.0,111.0,49.0,72.0
Jul-Sep 2008,615.0,25.0,106.0,51.0,72.0
Aug-Oct 2008,596.0,22.0,106.0,50.0,72.0
Sep-Nov 2008,562.0,18.0,100.0,52.0,69.0
Oct-Dec 2008,527.0,16.0,94.0,52.0,68.0
Nov-Jan 2009,497.0,16.0,84.0,52.0,68.0
Dec-Feb 2009,478.0,15.0,81.0,50.0,67.0
Jan-Mar 2009,465.0,14.0,80.0,50.0,69.0
Feb-Apr 2009,455.0,13.0,77.0,50.0,67.0
Mar-May 2009,443.0,12.0,76.0,50.0,66.0
Apr-Jun 2009,431.0,12.0,77.0,49.0,63.0
May-Jul 2009,430.0,12.0,77.0,50.0,62.0
Jun-Aug 2009,438.0,11.0,79.0,50.0,62.0
Jul-Sep 2009,436.0,11.0,79.0,52.0,58.0
Aug-Oct 2009,432.0,10.0,79.0,51.0,58.0
Sep-Nov 2009,437.0,9.0,82.0,51.0,58.0
Oct-Dec 2009,454.0,9.0,84.0,51.0,60.0
Nov-Jan 2010,463.0,9.0,86.0,53.0,59.0
Dec-Feb 2010,467.0,9.0,87.0,55.0,63.0
Jan-Mar 2010,465.0,9.0,86.0,54.0,64.0
Feb-Apr 2010,469.0,9.0,89.0,54.0,64.0
Mar-May 2010,479.0,10.0,92.0,51.0,63.0
Apr-Jun 2010,484.0,10.0,94.0,49.0,62.0
May-Jul 2010,479.0,11.0,93.0,41.0,62.0
Jun-Aug 2010,461.0,10.0,91.0,35.0,61.0
Jul-Sep 2010,455.0,10.0,91.0,28.0,61.0
Aug-Oct 2010,454.0,11.0,92.0,28.0,59.0
Sep-Nov 2010,474.0,12.0,93.0,29.0,58.0
Oct-Dec 2010,483.0,13.0,93.0,30.0,56.0
Nov-Jan 2011,493.0,13.0,92.0,28.0,53.0
Dec-Feb 2011,490.0,12.0,93.0,27.0,52.0
Jan-Mar 2011,484.0,13.0,91.0,28.0,51.0
Feb-Apr 2011,472.0,12.0,93.0,28.0,52.0
Mar-May 2011,461.0,11.0,92.0,29.0,51.0
Apr-Jun 2011,461.0,10.0,93.0,29.0,52.0
May-Jul 2011,457.0,10.0,91.0,30.0,51.0
Jun-Aug 2011,462.0,10.0,89.0,30.0,54.0
Jul-Sep 2011,464.0,11.0,91.0,30.0,53.0
Aug-Oct 2011,466.0,10.0,92.0,31.0,55.0
Sep-Nov 2011,462.0,10.0,91.0,31.0,55.0
Oct-Dec 2011,465.0,9.0,90.0,31.0,55.0
Nov-Jan 2012,473.0,11.0,90.0,33.0,55.0
Dec-Feb 2012,473.0,11.0,92.0,33.0,54.0
Jan-Mar 2012,467.0,12.0,90.0,34.0,54.0
Feb-Apr 2012,465.0,13.0,89.0,33.0,56.0
Mar-May 2012,471.0,14.0,88.0,35.0,58.0
Apr-Jun 2012,474.0,14.0,89.0,35.0,58.0
May-Jul 2012,480.0,14.0,92.0,37.0,59.0
Jun-Aug 2012,484.0,13.0,95.0,36.0,59.0
Jul-Sep 2012,488.0,14.0,95.0,36.0,60.0
Aug-Oct 2012,490.0,15.0,94.0,36.0,61.0
Sep-Nov 2012,494.0,15.0,94.0,37.0,62.0
Oct-Dec 2012,501.0,13.0,94.0,37.0,64.0
Nov-Jan 2013,500.0,13.0,94.0,37.0,67.0
Dec-Feb 2013,505.0,12.0,92.0,40.0,68.0
Jan-Mar 2013,504.0,12.0,95.0,40.0,69.0
Feb-Apr 2013,516.0,13.0,97.0,40.0,68.0
Mar-May 2013,523.0,14.0,100.0,39.0,70.0
Apr-Jun 2013,534.0,15.0,103.0,40.0,72.0
May-Jul 2013,540.0,15.0,103.0,41.0,73.0
Jun-Aug 2013,536.0,14.0,100.0,39.0,74.0
Jul-Sep 2013,548.0,14.0,106.0,39.0,76.0
Aug-Oct 2013,552.0,14.0,109.0,38.0,77.0
Sep-Nov 2013,567.0,15.0,111.0,40.0,79.0
Oct-Dec 2013,572.0,16.0,109.0,40.0,80.0
Nov-Jan 2014,581.0,18.0,109.0,41.0,81.0
Dec-Feb 2014,595.0,18.0,112.0,43.0,84.0
Jan-Mar 2014,616.0,19.0,112.0,46.0,87.0
Feb-Apr 2014,638.0,21.0,114.0,49.0,90.0
Mar-May 2014,654.0,20.0,118.0,50.0,90.0
Apr-Jun 2014,663.0,19.0,121.0,50.0,93.0
May-Jul 2014,670.0,19.0,124.0,49.0,94.0
Jun-Aug 2014,681.0,22.0,125.0,52.0,97.0
Jul-Sep 2014,687.0,23.0,127.0,51.0,97.0
Aug-Oct 2014,702.0,23.0,128.0,52.0,101.0
Sep-Nov 2014,703.0,22.0,128.0,52.0,104.0
Oct-Dec 2014,707.0,22.0,128.0,53.0,106.0
Nov-Jan 2015,708.0,25.0,127.0,51.0,104.0
Dec-Feb 2015,720.0,27.0,128.0,50.0,106.0
Jan-Mar 2015,729.0,27.0,131.0,50.0,108.0
Feb-Apr 2015,728.0,26.0,130.0,52.0,110.0
Mar-May 2015,728.0,25.0,129.0,51.0,111.0
Apr-Jun 2015,732.0,26.0,128.0,52.0,113.0
May-Jul 2015,742.0,27.0,130.0,51.0,117.0
Jun-Aug 2015,742.0,25.0,129.0,51.0,119.0
Jul-Sep 2015,742.0,24.0,125.0,49.0,119.0
Aug-Oct 2015,741.0,23.0,124.0,49.0,118.0
Sep-Nov 2015,742.0,23.0,128.0,49.0,119.0
Oct-Dec 2015,743.0,22.0,134.0,49.0,121.0
Nov-Jan 2016,746.0,21.0,137.0,52.0,124.0
Dec-Feb 2016,745.0,21.0,139.0,51.0,127.0
Jan-Mar 2016,746.0,21.0,139.0,50.0,124.0
Feb-Apr 2016,745.0,22.0,140.0,50.0,120.0
Mar-May 2016,748.0,23.0,139.0,49.0,119.0
Apr-Jun 2016,750.0,22.0,138.0,49.0,118.0
May-Jul 2016,749.0,21.0,139.0,46.0,119.0
Jun-Aug 2016,753.0,21.0,137.0,47.0,119.0
Jul-Sep 2016,755.0,21.0,136.0,49.0,121.0
Aug-Oct 2016,762.0,25.0,137.0,50.0,121.0
Sep-Nov 2016,758.0,27.0,135.0,48.0,119.0
Oct-Dec 2016,758.0,29.0,136.0,48.0,119.0
Nov-Jan 2017,754.0,28.0,135.0,48.0,119.0
Dec-Feb 2017,767.0,29.0,136.0,50.0,122.0
Jan-Mar 2017,773.0,28.0,134.0,52.0,120.0
Feb-Apr 2017,788.0,27.0,136.0,53.0,124.0
Mar-May 2017,783.0,27.0,137.0,51.0,124.0
Apr-Jun 2017,782.0,27.0,139.0,48.0,123.0
May-Jul 2017,785.0,28.0,140.0,48.0,120.0
Jun-Aug 2017,794.0,30.0,144.0,50.0,119.0
Jul-Sep 2017,799.0,30.0,145.0,52.0,122.0
Aug-Oct 2017,809.0,31.0,146.0,54.0,125.0
Sep-Nov 2017,819.0,28.0,143.0,53.0,127.0
Oct-Dec 2017,821.0,26.0,137.0,50.0,129.0
Nov-Jan 2018,822.0,24.0,132.0,50.0,131.0
Dec-Feb 2018,815.0,22.0,131.0,49.0,130.0
Jan-Mar 2018,814.0,22.0,132.0,47.0,129.0
Feb-Apr 2018,812.0,23.0,130.0,46.0,127.0
Mar-May 2018,819.0,23.0,129.0,48.0,130.0
Apr-Jun 2018,829.0,26.0,127.0,47.0,133.0
May-Jul 2018,839.0,27.0,131.0,49.0,134.0
Jun-Aug 2018,843.0,29.0,134.0,50.0,134.0
Jul-Sep 2018,844.0,26.0,138.0,51.0,132.0
Aug-Oct 2018,862.0,27.0,140.0,52.0,133.0
Sep-Nov 2018,861.0,27.0,140.0,51.0,132.0
Oct-Dec 2018,856.0,27.0,139.0,51.0,131.0
Nov-Jan 2019,859.0,28.0,138.0,49.0,133.0
Dec-Feb 2019,847.0,28.0,138.0,49.0,133.0
Jan-Mar 2019,845.0,28.0,136.0,50.0,136.0
Feb-Apr 2019,840.0,27.0,134.0,51.0,136.0
Mar-May 2019,835.0,27.0,133.0,51.0,138.0
Apr-Jun 2019,821.0,26.0,131.0,51.0,138.0
May-Jul 2019,823.0,26.0,134.0,52.0,140.0
Jun-Aug 2019,816.0,25.0,129.0,51.0,139.0
Jul-Sep 2019,817.0,25.0,134.0,50.0,140.0
Aug-Oct 2019,810.0,24.0,132.0,50.0,139.0
Sep-Nov 2019,807.0,26.0,133.0,52.0,139.0
Oct-Dec 2019,810.0,26.0,132.0,51.0,138.0
Nov-Jan 2020,816.0,27.0,130.0,53.0,136.0
Dec-Feb 2020,819.0,28.0,133.0,51.0,136.0
Jan-Mar 2020,796.0,27.0,130.0,50.0,136.0
Feb-Apr 2020,638.0,21.0,98.0,42.0,129.0
Mar-May 2020,472.0,12.0,63.0,32.0,114.0
Apr-Jun 2020,328.0,7.0,36.0,22.0,103.0
May-Jul 2020,371.0,12.0,43.0,24.0,104.0
Jun-Aug 2020,429.0,18.0,52.0,29.0,111.0
Jul-Sep 2020,488.0,21.0,61.0,34.0,116.0
Aug-Oct 2020,531.0,25.0,63.0,39.0,122.0
Sep-Nov 2020,557.0,25.0,67.0,39.0,124.0
Oct-Dec 2020,600.0,28.0,73.0,41.0,130.0
Nov-Jan 2021,619.0,30.0,77.0,44.0,128.0
Dec-Feb 2021,621.0,29.0,75.0,42.0,129.0
Jan-Mar 2021,628.0,30.0,76.0,40.0,130.0
Feb-Apr 2021,663.0,28.0,81.0,43.0,133.0
Mar-May 2021,765.0,32.0,96.0,46.0,143.0
Apr-Jun 2021,867.0,30.0,108.0,50.0,153.0
May-Jul 2021,971.0,36.0,123.0,53.0,163.0
Jun-Aug 2021,1052.0,38.0,137.0,57.0,172.0
Jul-Sep 2021,1122.0,43.0,147.0,61.0,180.0
Aug-Oct 2021,1194.0,45.0,154.0,62.0,191.0
Sep-Nov 2021,1218.0,41.0,157.0,63.0,195.0
Oct-Dec 2021,1241.0,40.0,158.0,66.0,202.0
Nov-Jan 2022,1257.0,38.0,165.0,71.0,205.0
Dec-Feb 2022,1273.0,48.0,164.0,74.0,212.0
Jan-Mar 2022,1286.0,47.0,169.0,73.0,213.0
Feb-Apr 2022,1296.0,49.0,165.0,73.0,211.0
Mar-May 2022,1304.0,48.0,166.0,72.0,211.0
Apr-Jun 2022,1299.0,46.0,167.0,73.0,213.0
May-Jul 2022,1280.0,45.0,165.0,71.0,217.0
Jun-Aug 2022,1259.0,46.0,162.0,74.0,215.0
Jul-Sep 2022,1233.0,47.0,156.0,75.0,219.0
Aug-Oct 2022,1216.0,48.0,154.0,81.0,213.0
Sep-Nov 2022,1175.0,46.0,146.0,75.0,209.0
Oct-Dec 2022,1153.0,43.0,146.0,77.0,206.0
Nov-Jan 2023,1132.0,42.0,148.0,73.0,207.0
Dec-Feb 2023,1128.0,40.0,148.0,74.0,204.0
Jan-Mar 2023,1120.0,41.0,142.0,73.0,200.0
Feb-Apr 2023,1086.0,41.0,139.0,72.0,193.0
Mar-May 2023,1060.0,39.0,139.0,70.0,190.0
Apr-Jun 2023,1039.0,39.0,142.0,68.0,186.0
May-Jul 2023,1024.0,40.0,137.0,67.0,181.0
Jun-Aug 2023,1000.0,37.0,136.0,67.0,181.0
Jul-Sep 2023,983.0,34.0,138.0,65.0,179.0
Aug-Oct 2023,961.0,33.0,134.0,67.0,179.0
Sep-Nov 2023,951.0,36.0,130.0,65.0,174.0
Oct-Dec 2023,929.0,37.0,122.0,64.0,169.0
Nov-Jan 2024,924.0,35.0,121.0,62.0,166.0
Dec-Feb 2024,916.0,36.0,120.0,63.0,160.0
Jan-Mar 2024,919.0,37.0,116.0,63.0,162.0
Feb-Apr 2024,909.0,36.0,113.0,63.0,162.0
Mar-May 2024,899.0,38.0,110.0,64.0,162.0
Apr-Jun 2024,875.0,35.0,107.0,62.0,160.0
May-Jul 2024,866.0,37.0,107.0,61.0,156.0
Jun-Aug 2024,853.0,38.0,106.0,61.0,152.0
Jul-Sep 2024,840.0,38.0,104.0,61.0,148.0
Aug-Oct 2024,831.0,37.0,100.0,59.0,144.0
